date,portcalls,import,export
2025-11-15,4,77326,60537
2025-11-16,3,20323,122522
2025-11-17,5,60969,99305
2025-11-18,1,76334,0
2025-11-19,2,78121,52845
2025-11-20,2,8176,53530
2025-11-21,4,46891,74263
2025-11-22,3,83865,64838
2025-11-23,3,98937,31279
2025-11-24,4,1254,152242
2025-11-25,0,0,0
2025-11-26,3,60714,89144
2025-11-27,4,118337,63068
2025-11-28,2,77176,0
2025-11-29,3,60714,89144
2025-11-30,2,6245,74585
2025-12-01,5,135349,100344
2025-12-02,2,15010,3278
2025-12-03,5,123311,20138
2025-12-04,4,47672,58875
2025-12-05,3,82530,265
2025-12-06,4,8037,58883
2025-12-07,2,91201,0
2025-12-08,1,0,73171
2025-12-09,0,0,0
2025-12-10,0,0,0
2025-12-11,0,0,0
2025-12-12,0,0,0
2025-12-13,1,1370,0
2025-12-14,2,0,48438
2025-12-15,2,20068,101779
2025-12-16,2,100251,30268
2025-12-17,0,0,0
2025-12-18,1,0,33440
2025-12-19,3,40646,61651
2025-12-20,3,48036,40748
2025-12-21,3,21719,88072
2025-12-22,1,20323,30268
2025-12-23,4,20323,96416
2025-12-24,3,76719,46886
2025-12-25,1,0,69682
2025-12-26,2,0,81284
2025-12-27,1,0,35040
2025-12-28,4,70717,89144
2025-12-29,2,81185,30268
2025-12-30,3,20880,91001
2025-12-31,1,20323,30268
2026-01-01,2,69007,0
2026-01-02,4,213443,61547
2026-01-03,3,113282,60537
2026-01-04,1,20323,30268
2026-01-05,5,51388,103440
2026-01-06,1,0,27308
2026-01-07,1,0,54462
2026-01-08,2,40391,58875
2026-01-09,2,18288,1010
2026-01-10,1,28773,0
2026-01-11,4,28640,44679
2026-01-12,2,40646,60537
2026-01-13,2,348,690
2026-01-14,2,104211,30268
2026-01-15,3,41114,60537
2026-01-16,1,64708,0
2026-01-17,3,40646,121867
2026-01-18,2,0,41533
2026-01-19,4,94749,88868
2026-01-20,2,20323,30444
2026-01-21,4,58934,131915
2026-01-22,2,78672,0
2026-01-23,4,97094,162176
2026-01-24,2,79115,0
2026-01-25,2,0,121760
2026-01-26,6,27021,197562
2026-01-27,2,40646,60537
2026-01-28,2,45792,30268
2026-01-29,2,1617,11677
2026-01-30,4,152458,37234
2026-01-31,3,20323,117169
2026-02-01,2,0,107860
2026-02-02,3,10934,81886
2026-02-03,3,20323,97539
2026-02-04,3,20068,31903
2026-02-05,3,87428,43994
2026-02-06,3,1396,22162
2026-02-07,0,0,0
2026-02-08,3,164103,0
2026-02-09,1,0,37897
2026-02-10,1,81846,0
2026-02-11,3,57900,70367
2026-02-12,5,40646,163745
2026-02-13,1,0,77660
2026-02-14,4,78989,118703
2026-02-15,2,0,12375
2026-02-16,2,45716,30268
2026-02-17,2,0,40777
2026-02-18,4,152093,58875
2026-02-19,2,74586,73171
2026-02-20,2,62471,69682
2026-02-21,0,0,0
2026-02-22,5,26568,192096
2026-02-23,0,0,0
2026-02-24,2,20323,34450
2026-02-25,3,78576,59565
2026-02-26,3,24348,49303
2026-02-27,6,47687,131879
2026-02-28,6,220810,169795
2026-03-01,4,78558,37609
2026-03-02,5,214825,30268
2026-03-03,2,0,149927
2026-03-04,2,40391,58875
2026-03-05,4,21719,118576
2026-03-06,2,0,119267
2026-03-07,4,222892,103440
2026-03-08,2,0,146006
2026-03-09,1,20323,30268
2026-03-10,5,46891,134830
2026-03-11,2,428,0
2026-03-12,6,104628,219816
2026-03-13,3,40391,83679
2026-03-14,5,21271,94016
2026-03-15,3,92077,73171
2026-03-16,0,0,0
2026-03-17,6,63970,177798
2026-03-18,3,20323,107013
2026-03-19,0,0,0
2026-03-20,1,75379,0
2026-03-21,5,134084,89247
2026-03-22,2,9876,1045
2026-03-23,2,170191,0
2026-03-24,4,72111,60537
2026-03-25,4,21791,36150
2026-03-26,4,35802,6669
2026-03-27,2,20323,30268
2026-03-28,6,9034,283818
2026-03-29,2,20068,45552
2026-03-30,2,0,13110
2026-03-31,2,20323,90890
2026-04-01,1,690,0
2026-04-02,1,0,69682
2026-04-03,4,42042,141115
2026-04-04,3,0,238740
2026-04-05,2,21085,3888
2026-04-06,1,0,83890
2026-04-07,5,96035,30128
2026-04-08,3,40646,118900
2026-04-09,4,100746,33297
2026-04-10,4,78918,132752
2026-04-11,4,160853,87919
2026-04-12,3,20323,176580
2026-04-13,2,60399,30268
2026-04-14,3,13744,78730
2026-04-15,1,6245,13725
2026-04-16,3,10182,44223
2026-04-17,3,31185,114159
2026-04-18,3,150319,0
2026-04-19,4,177627,100635
2026-04-20,0,0,0
2026-04-21,2,25398,30268
2026-04-22,6,4004,263934
2026-04-23,4,138735,43994
2026-04-24,6,25942,267996
2026-04-25,4,124144,79573
2026-04-26,0,0,0
2026-04-27,16,215450,599634
2026-04-28,3,78802,92270
2026-04-29,5,97183,102219
2026-04-30,4,163558,137813
2026-05-01,5,50073,239590
2026-05-02,5,95214,170559
2026-05-03,3,79199,146745
2026-05-04,8,127930,183428
2026-05-05,6,140095,165658
2026-05-06,4,4245,103416
2026-05-07,8,110887,318415
2026-05-08,6,143099,205801
2026-05-09,5,71660,200254
2026-05-10,12,182383,450709
2026-05-11,2,506,69682
2026-05-12,5,110287,172068
2026-05-13,4,78614,145072
2026-05-14,7,76537,130767
2026-05-15,6,69084,214446
2026-05-16,6,129701,159618
2026-05-17,8,188496,199631
2026-05-18,6,152519,135770
2026-05-19,4,50059,87047
2026-05-20,7,186802,255379
2026-05-21,4,79187,206425
2026-05-22,2,6245,93314
2026-05-23,7,283835,62500
2026-05-24,6,16401,255632
2026-05-25,9,88728,263636
2026-05-26,6,136752,198770
2026-05-27,4,53552,37690
2026-05-28,7,195933,263642
2026-05-29,5,100557,109190
2026-05-30,6,8510,311483
2026-05-31,6,220402,30268
2026-06-01,5,0,283749
2026-06-02,2,0,104886
2026-06-03,5,230877,125346
2026-06-04,2,0,78042
2026-06-05,5,0,277807
2026-06-06,7,45951,113093
2026-06-07,10,98807,340503
2026-06-08,4,0,127272
2026-06-09,6,8536,287548
2026-06-10,9,88959,322846
2026-06-11,4,111698,86897
2026-06-12,10,217781,341089
2026-06-13,3,98464,32131
2026-06-14,3,146484,78869
2026-06-15,3,20323,175925
2026-06-16,7,310058,207506
2026-06-17,6,77717,337884
2026-06-18,2,0,139467
2026-06-19,8,147753,287009
2026-06-20,7,6876,294224
2026-06-21,3,79847,52693
2026-06-22,8,236035,103408
2026-06-23,3,25908,134536
2026-06-24,8,78427,254675
2026-06-25,5,95832,132140
2026-06-26,8,202564,175390
2026-06-27,5,153693,179821
2026-06-28,8,186725,246454
2026-06-29,4,19886,251811
2026-06-30,6,2998,207534
2026-07-01,6,155779,78134
2026-07-02,4,128910,132381
2026-07-03,8,81470,285526
2026-07-04,6,132824,67235
2026-07-05,0,0,0
2026-07-06,0,0,0
2026-07-07,12,203908,365301
2026-07-08,8,126066,270731
2026-07-09,6,64705,183486
2026-07-10,9,189415,267426
2026-07-11,9,178398,404621
2026-07-12,3,0,169307
2026-07-13,7,150575,102655
2026-07-14,3,24533,74807
2026-07-15,3,78898,127202
2026-07-16,7,179435,166101
2026-07-17,6,119488,149877
2026-07-18,7,141329,232584
2026-07-19,8,94966,234297
2026-07-20,8,133006,346806
2026-07-21,3,111064,61912
2026-07-22,7,172418,101886
2026-07-23,3,0,193514
2026-07-24,5,136099,57929
2026-07-25,8,103444,338222
2026-07-26,7,37510,98292
2026-07-27,5,0,252210
2026-07-28,4,159410,61165
2026-07-29,5,49771,188689
2026-07-30,5,39034,181808
2026-07-31,5,93980,132305
2026-08-01,7,152790,143916
2026-08-02,8,190960,128345
2026-08-03,6,62528,230945
2026-08-04,7,226157,132967
2026-08-05,5,150951,129248
2026-08-06,7,155948,149951
2026-08-07,6,53790,213524
2026-08-08,4,48249,72507
2026-08-09,7,82551,268215
2026-08-10,6,174515,170421
2026-08-11,4,95707,82256
2026-08-12,3,0,124926
2026-08-13,7,132834,252461
2026-08-14,6,71684,194988
2026-08-15,3,44355,92556
2026-08-16,7,87275,345616
2026-08-17,3,80244,38746
2026-08-18,4,105908,60895
2026-08-19,5,61905,200402
2026-08-20,7,176164,163096
2026-08-21,3,79629,78847
2026-08-22,7,121207,155568
2026-08-23,3,0,136303
2026-08-24,3,4025,126813
2026-08-25,5,55068,99625
2026-08-26,9,79652,346912
2026-08-27,4,51474,179215
2026-08-28,4,51140,73508
