Date,Global_LSCI,LSCI_lag7,LSCI_lag14,LSCI_lag28,LSCI_rolling14,IIP_Value,IIP_lag7,IIP_lag14,IIP_lag28,IIP_rolling14
2024-03-06,0.128485129478348,0.4260432772260501,0.4388244432604896,0.4648893621681898,0.3029635740623707,1.2483600686081149,0.4906184551141957,0.4937409628935789,0.5000144261515497,0.8328431794858411
2024-03-07,0.128485129478348,0.4260432772260501,0.4388244432604896,0.4648893621681898,0.2825293776532237,1.2483600686081149,0.4906184551141957,0.4937409628935789,0.5000144261515497,0.888325256461126
2024-03-08,0.128485129478348,0.1401820978961405,0.4388244432604896,0.4648893621681898,0.2620951812440767,1.2483600686081149,1.2525481944459695,0.4937409628935789,0.5000144261515497,0.9438073334364128
2024-03-09,0.128485129478348,0.1401820978961405,0.4388244432604896,0.4648893621681898,0.2416609848349297,1.2483600686081149,1.2525481944459695,0.4937409628935789,0.5000144261515497,0.9992894104116994
2024-03-10,0.128485129478348,0.1401820978961405,0.4388244432604896,0.4648893621681898,0.2212267884257741,1.2483600686081149,1.2525481944459695,0.4937409628935789,0.5000144261515497,1.054771487386986
2024-03-11,0.128485129478348,0.1401820978961405,0.4388244432604896,0.4648893621681898,0.2007925920166271,1.2483600686081149,1.2525481944459695,0.4937409628935789,0.5000144261515497,1.1102535643622728
2024-03-12,0.128485129478348,0.1401820978961405,0.4388244432604896,0.4648893621681898,0.1803583956074758,1.2483600686081149,1.2525481944459695,0.4937409628935789,0.5000144261515497,1.1657356413375597
2024-03-13,0.128485129478348,0.1401820978961405,0.4388244432604896,0.4648893621681898,0.1599241991983244,1.2483600686081149,1.2525481944459695,0.4937409628935789,0.5000144261515497,1.221217718312846
2024-03-14,0.128485129478348,0.1401820978961405,0.4388244432604896,0.4648893621681898,0.1394900027891775,1.2483600686081149,1.2525481944459695,0.4937409628935789,0.5000144261515497,1.2766997952881312
2024-03-15,0.128485129478348,0.1401820978961405,0.1518319441523839,0.4648893621681898,0.1394900027891775,1.2483600686081149,1.2525481944459695,1.2563354110448337,0.5000144261515497,1.2766997952881312
2024-03-16,0.128485129478348,0.1401820978961405,0.1518319441523839,0.4648893621681898,0.1394900027891775,1.2483600686081149,1.2525481944459695,1.2563354110448337,0.5000144261515497,1.2766997952881312
2024-03-17,0.128485129478348,0.1401820978961405,0.1518319441523839,0.4648893621681898,0.1394900027891775,1.2483600686081149,1.2525481944459695,1.2563354110448337,0.5000144261515497,1.2766997952881312
2024-03-18,0.128485129478348,0.1401820978961405,0.1518319441523839,0.4648893621681898,0.1394900027891775,1.2483600686081149,1.2525481944459695,1.2563354110448337,0.5000144261515497,1.2766997952881312
2024-03-19,0.128485129478348,0.1401820978961405,0.1518319441523839,0.4648893621681898,0.1394900027891775,1.2483600686081149,1.2525481944459695,1.2563354110448337,0.5000144261515497,1.2766997952881312
2024-03-20,0.128485129478348,0.1401820978961405,0.1518319441523839,0.4648893621681898,0.1394900027891775,1.2483600686081149,1.2525481944459695,1.2563354110448337,0.5000144261515497,1.2766997952881312
2024-03-21,0.128485129478348,0.1401820978961405,0.1518319441523839,0.4648893621681898,0.1394900027891775,1.2483600686081149,1.2525481944459695,1.2563354110448337,0.5000144261515497,1.2766997952881312
2024-03-22,0.128485129478348,0.1401820978961405,0.1518319441523839,0.4648893621681898,0.1394900027891775,1.2483600686081149,1.2525481944459695,1.2563354110448337,0.5000144261515497,1.2766997952881312
2024-03-23,0.128485129478348,0.1401820978961405,0.1518319441523839,0.4648893621681898,0.1394900027891775,1.2483600686081149,1.2525481944459695,1.2563354110448337,0.5000144261515497,1.2766997952881312
2024-03-24,0.128485129478348,0.1401820978961405,0.1518319441523839,0.4648893621681898,0.1394900027891775,1.2483600686081149,1.2525481944459695,1.2563354110448337,0.5000144261515497,1.2766997952881312
2024-03-25,0.128485129478348,0.1401820978961405,0.1518319441523839,0.4648893621681898,0.1394900027891775,1.2483600686081149,1.2525481944459695,1.2563354110448337,0.5000144261515497,1.2766997952881312
2024-03-26,0.128485129478348,0.1401820978961405,0.1518319441523839,0.4648893621681898,0.1394900027891775,1.2483600686081149,1.2525481944459695,1.2563354110448337,0.5000144261515497,1.2766997952881312
2024-03-27,0.128485129478348,0.1401820978961405,0.1518319441523839,0.4648893621681898,0.1394900027891775,1.2483600686081149,1.2525481944459695,1.2563354110448337,0.5000144261515497,1.2766997952881312
2024-03-28,0.128485129478348,0.1401820978961405,0.1518319441523839,0.4648893621681898,0.1394900027891775,1.2483600686081149,1.2525481944459695,1.2563354110448337,0.5000144261515497,1.2766997952881312
2024-03-29,0.128485129478348,0.1401820978961405,0.1518319441523839,0.1754847135600515,0.1394900027891775,1.2483600686081149,1.2525481944459695,1.2563354110448337,1.263960225597356,1.2766997952881312
2024-03-30,0.128485129478348,0.1401820978961405,0.1518319441523839,0.1754847135600515,0.1394900027891775,1.2483600686081149,1.2525481944459695,1.2563354110448337,1.263960225597356,1.2766997952881312
2024-03-31,0.128485129478348,0.1401820978961405,0.1518319441523839,0.1754847135600515,0.1394900027891775,1.2483600686081149,1.2525481944459695,1.2563354110448337,1.263960225597356,1.2766997952881312
2024-04-01,0.2253990413905171,0.1401820978961405,0.1518319441523839,0.1754847135600515,0.1464458625632215,0.5403268351148154,1.2525481944459695,1.2563354110448337,1.263960225597356,1.2250885608925155
2024-04-02,0.2253990413905171,0.1401820978961405,0.1518319441523839,0.1754847135600515,0.1534017223372612,0.5403268351148154,1.2525481944459695,1.2563354110448337,1.263960225597356,1.1734773264969005
2024-04-03,0.2253990413905171,0.1401820978961405,0.1518319441523839,0.1754847135600515,0.1603575821113096,0.5403268351148154,1.2525481944459695,1.2563354110448337,1.263960225597356,1.1218660921012849
2024-04-04,0.2253990413905171,0.1401820978961405,0.1518319441523839,0.1754847135600515,0.1673134418853537,0.5403268351148154,1.2525481944459695,1.2563354110448337,1.263960225597356,1.0702548577056712
2024-04-05,0.2253990413905171,0.1401820978961405,0.1518319441523839,0.1754847135600515,0.1742693016593934,0.5403268351148154,1.2525481944459695,1.2563354110448337,1.263960225597356,1.0186436233100558
2024-04-06,0.2253990413905171,0.1401820978961405,0.1518319441523839,0.1754847135600515,0.1812251614334374,0.5403268351148154,1.2525481944459695,1.2563354110448337,1.263960225597356,0.9670323889144404
2024-04-07,0.2253990413905171,0.1401820978961405,0.1518319441523839,0.1754847135600515,0.1881810212074815,0.5403268351148154,1.2525481944459695,1.2563354110448337,1.263960225597356,0.915421154518825
2024-04-08,0.2253990413905171,0.237490073137644,0.1518319441523839,0.1754847135600515,0.1951368809815299,0.5403268351148154,0.5437763439047849,1.2563354110448337,1.263960225597356,0.8638099201232097
2024-04-09,0.2253990413905171,0.237490073137644,0.1518319441523839,0.1754847135600515,0.2020927407555696,0.5403268351148154,0.5437763439047849,1.2563354110448337,1.263960225597356,0.8121986857275942
2024-04-10,0.2253990413905171,0.237490073137644,0.1518319441523839,0.1754847135600515,0.2090486005296093,0.5403268351148154,0.5437763439047849,1.2563354110448337,1.263960225597356,0.7605874513319788
2024-04-11,0.2253990413905171,0.237490073137644,0.1518319441523839,0.1754847135600515,0.2160044603036577,0.5403268351148154,0.5437763439047849,1.2563354110448337,1.263960225597356,0.7089762169363651
2024-04-12,0.2253990413905171,0.237490073137644,0.1518319441523839,0.1754847135600515,0.2229603200776974,0.5403268351148154,0.5437763439047849,1.2563354110448337,1.263960225597356,0.6573649825407497
2024-04-13,0.2253990413905171,0.237490073137644,0.1518319441523839,0.1754847135600515,0.2299161798517371,0.5403268351148154,0.5437763439047849,1.2563354110448337,1.263960225597356,0.6057537481451344
2024-04-14,0.2253990413905171,0.237490073137644,0.1518319441523839,0.1754847135600515,0.2368720396257856,0.5403268351148154,0.5437763439047849,1.2563354110448337,1.263960225597356,0.554142513749519
2024-04-15,0.2253990413905171,0.237490073137644,0.2495250239303794,0.1754847135600515,0.2368720396257856,0.5403268351148154,0.5437763439047849,0.5469452267180853,1.263960225597356,0.554142513749519
2024-04-16,0.2253990413905171,0.237490073137644,0.2495250239303794,0.1754847135600515,0.2368720396257856,0.5403268351148154,0.5437763439047849,0.5469452267180853,1.263960225597356,0.554142513749519
2024-04-17,0.2253990413905171,0.237490073137644,0.2495250239303794,0.1754847135600515,0.2368720396257856,0.5403268351148154,0.5437763439047849,0.5469452267180853,1.263960225597356,0.554142513749519
2024-04-18,0.2253990413905171,0.237490073137644,0.2495250239303794,0.1754847135600515,0.2368720396257856,0.5403268351148154,0.5437763439047849,0.5469452267180853,1.263960225597356,0.554142513749519
2024-04-19,0.2253990413905171,0.237490073137644,0.2495250239303794,0.1754847135600515,0.2368720396257856,0.5403268351148154,0.5437763439047849,0.5469452267180853,1.263960225597356,0.554142513749519
