portName,month,year,category,dwellTime
APSEZ,SEPTEMBER,2020,Import,59.0
CHENNAI,SEPTEMBER,2020,Export,99.0
CHENNAI,SEPTEMBER,2020,Import,43.0
COCHIN,SEPTEMBER,2020,Export,111.0
COCHIN,SEPTEMBER,2020,Import,50.0
EASTERN REGION AVG.,SEPTEMBER,2020,Export,138.0
EASTERN REGION AVG.,SEPTEMBER,2020,Import,44.0
HALDIA,SEPTEMBER,2020,Export,166.0
HALDIA,SEPTEMBER,2020,Import,90.0
HAZIRA,SEPTEMBER,2020,Export,117.0
HAZIRA,SEPTEMBER,2020,Import,50.0
JNPT,SEPTEMBER,2020,Export,78.0
JNPT,SEPTEMBER,2020,Import,21.0
KANDLA,SEPTEMBER,2020,Import,46.0
KATTUPALLI,SEPTEMBER,2020,Export,108.0
KATTUPALLI,SEPTEMBER,2020,Import,53.0
KOLKATA,SEPTEMBER,2020,Export,145.0
KOLKATA,SEPTEMBER,2020,Import,34.0
KRISHNAPATNAM,SEPTEMBER,2020,Export,77.0
KRISHNAPATNAM,SEPTEMBER,2020,Import,72.0
NMPT,SEPTEMBER,2020,Import,120.0
SOUTHERN REGION AVG.,SEPTEMBER,2020,Export,57.0
SOUTHERN REGION AVG.,SEPTEMBER,2020,Import,34.0
TUTICORIN,SEPTEMBER,2020,Export,89.0
TUTICORIN,SEPTEMBER,2020,Import,19.0
VIZAG,SEPTEMBER,2020,Export,124.0
VIZAG,SEPTEMBER,2020,Import,49.0
WESTERN REGION AVG.,SEPTEMBER,2020,Export,96.0
WESTERN REGION AVG.,SEPTEMBER,2020,Import,35.0
APSEZ,OCTOBER,2020,Export,132.8
APSEZ,OCTOBER,2020,Import,25.9
CHENNAI,OCTOBER,2020,Export,102.8
CHENNAI,OCTOBER,2020,Import,43.6
COCHIN,OCTOBER,2020,Export,89.0
COCHIN,OCTOBER,2020,Import,44.0
EASTERN REGION AVG.,OCTOBER,2020,Export,137.9
EASTERN REGION AVG.,OCTOBER,2020,Import,37.1
HALDIA,OCTOBER,2020,Export,134.3
HALDIA,OCTOBER,2020,Import,84.2
HAZIRA,OCTOBER,2020,Export,126.0
HAZIRA,OCTOBER,2020,Import,41.0
JNPT,OCTOBER,2020,Export,78.0
JNPT,OCTOBER,2020,Import,19.0
KANDLA,OCTOBER,2020,Import,30.9
KATTUPALLI,OCTOBER,2020,Export,99.5
KATTUPALLI,OCTOBER,2020,Import,54.9
KOLKATA,OCTOBER,2020,Export,144.3
KOLKATA,OCTOBER,2020,Import,30.1
KRISHNAPATNAM,OCTOBER,2020,Export,76.9
KRISHNAPATNAM,OCTOBER,2020,Import,109.6
NMPT,OCTOBER,2020,Import,73.0
SOUTHERN REGION AVG.,OCTOBER,2020,Export,93.0
SOUTHERN REGION AVG.,OCTOBER,2020,Import,50.0
TUTICORIN,OCTOBER,2020,Export,78.6
TUTICORIN,OCTOBER,2020,Import,17.5
VIZAG,OCTOBER,2020,Export,131.3
VIZAG,OCTOBER,2020,Import,41.6
WESTERN REGION AVG.,OCTOBER,2020,Export,106.0
WESTERN REGION AVG.,OCTOBER,2020,Import,22.0
APSEZ,NOVEMBER,2020,Export,129.4
APSEZ,NOVEMBER,2020,Import,24.1
CHENNAI,NOVEMBER,2020,Export,103.8
CHENNAI,NOVEMBER,2020,Import,47.0
COCHIN,NOVEMBER,2020,Export,112.1
COCHIN,NOVEMBER,2020,Import,45.2
EASTERN REGION AVG.,NOVEMBER,2020,Export,142.5
EASTERN REGION AVG.,NOVEMBER,2020,Import,49.3
HALDIA,NOVEMBER,2020,Export,101.1
HALDIA,NOVEMBER,2020,Import,68.0
HAZIRA,NOVEMBER,2020,Export,136.0
HAZIRA,NOVEMBER,2020,Import,33.0
JNPT,NOVEMBER,2020,Export,75.0
JNPT,NOVEMBER,2020,Import,21.0
KANDLA,NOVEMBER,2020,Import,40.6
KATTUPALLI,NOVEMBER,2020,Export,99.6
KATTUPALLI,NOVEMBER,2020,Import,66.0
KOLKATA,NOVEMBER,2020,Export,174.7
KOLKATA,NOVEMBER,2020,Import,35.9
KRISHNAPATNAM,NOVEMBER,2020,Export,72.7
KRISHNAPATNAM,NOVEMBER,2020,Import,88.9
NMPT,NOVEMBER,2020,Import,87.0
SOUTHERN REGION AVG.,NOVEMBER,2020,Export,103.2
SOUTHERN REGION AVG.,NOVEMBER,2020,Import,56.5
TUTICORIN,NOVEMBER,2020,Export,111.5
TUTICORIN,NOVEMBER,2020,Import,18.1
VIZAG,NOVEMBER,2020,Export,119.1
VIZAG,NOVEMBER,2020,Import,56.2
WESTERN REGION AVG.,NOVEMBER,2020,Export,104.7
WESTERN REGION AVG.,NOVEMBER,2020,Import,23.5
APSEZ,DECEMBER,2020,Export,121.8
APSEZ,DECEMBER,2020,Import,32.1
CHENNAI,DECEMBER,2020,Export,120.3
CHENNAI,DECEMBER,2020,Import,67.4
COCHIN,DECEMBER,2020,Export,141.0
COCHIN,DECEMBER,2020,Import,63.3
EASTERN REGION AVG.,DECEMBER,2020,Export,132.3
EASTERN REGION AVG.,DECEMBER,2020,Import,37.4
HALDIA,DECEMBER,2020,Export,144.0
HALDIA,DECEMBER,2020,Import,85.1
HAZIRA,DECEMBER,2020,Export,126.0
HAZIRA,DECEMBER,2020,Import,26.0
JNPT,DECEMBER,2020,Export,77.0
JNPT,DECEMBER,2020,Import,21.0
KANDLA,DECEMBER,2020,Import,45.3
KATTUPALLI,DECEMBER,2020,Export,135.0
KATTUPALLI,DECEMBER,2020,Import,92.5
KOLKATA,DECEMBER,2020,Export,123.6
KOLKATA,DECEMBER,2020,Import,29.4
KRISHNAPATNAM,DECEMBER,2020,Export,83.0
KRISHNAPATNAM,DECEMBER,2020,Import,61.3
NMPT,DECEMBER,2020,Import,66.0
SOUTHERN REGION AVG.,DECEMBER,2020,Export,115.2
SOUTHERN REGION AVG.,DECEMBER,2020,Import,57.5
TUTICORIN,DECEMBER,2020,Export,90.1
TUTICORIN,DECEMBER,2020,Import,17.3
VIZAG,DECEMBER,2020,Export,138.6
VIZAG,DECEMBER,2020,Import,43.7
WESTERN REGION AVG.,DECEMBER,2020,Export,100.5
WESTERN REGION AVG.,DECEMBER,2020,Import,26.6
APSEZ,JANUARY,2021,Export,134.3
APSEZ,JANUARY,2021,Import,25.5
CHENNAI,JANUARY,2021,Export,93.6
CHENNAI,JANUARY,2021,Import,63.1
COCHIN,JANUARY,2021,Export,107.9
COCHIN,JANUARY,2021,Import,64.1
EASTERN REGION AVG.,JANUARY,2021,Export,111.5
EASTERN REGION AVG.,JANUARY,2021,Import,40.1
HALDIA,JANUARY,2021,Export,96.0
HALDIA,JANUARY,2021,Import,92.3
HAZIRA,JANUARY,2021,Export,121.0
HAZIRA,JANUARY,2021,Import,23.0
JNPT,JANUARY,2021,Export,77.0
JNPT,JANUARY,2021,Import,23.0
KANDLA,JANUARY,2021,Import,37.0
KATTUPALLI,JANUARY,2021,Export,105.5
KATTUPALLI,JANUARY,2021,Import,85.0
KOLKATA,JANUARY,2021,Export,113.5
KOLKATA,JANUARY,2021,Import,29.44
KRISHNAPATNAM,JANUARY,2021,Export,61.9
KRISHNAPATNAM,JANUARY,2021,Import,73.2
NMPT,JANUARY,2021,Import,75.2
SOUTHERN REGION AVG.,JANUARY,2021,Export,86.7
SOUTHERN REGION AVG.,JANUARY,2021,Import,58.6
TUTICORIN,JANUARY,2021,Export,52.4
TUTICORIN,JANUARY,2021,Import,28.9
VIZAG,JANUARY,2021,Export,113.0
VIZAG,JANUARY,2021,Import,42.5
WESTERN REGION AVG.,JANUARY,2021,Export,103.2
WESTERN REGION AVG.,JANUARY,2021,Import,24.4
APSEZ,FEBRUARY,2021,Export,133.8
APSEZ,FEBRUARY,2021,Import,22.1
