date,year,month,day,portid,portname,country,ISO3,portcalls_container,portcalls_dry_bulk,portcalls_general_cargo,portcalls_roro,portcalls_tanker,portcalls_cargo,portcalls,import_container,import_dry_bulk,import_general_cargo,import_roro,import_tanker,import_cargo,import,export_container,export_dry_bulk,export_general_cargo,export_roro,export_tanker,export_cargo,export,ObjectId,canon
2026-06-18,2026,6,18,port2481,Chhara LNG Terminal,India,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5556427,port2481
2026-06-17,2026,6,17,port207,Kolkata (Syama Prasad Mookerje Port),India,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3110308,KOLKATA
2026-06-17,2026,6,17,port235,Chennai (Madras),India,IND,1,0,1,0,1,2,3,9901,0,0,0,0,9901,9901,0,0,1274,0,26133,1274,27408,3114234,CHENNAI
2026-06-17,2026,6,17,port271,Dahej,India,IND,0,0,0,0,1,0,1,0,0,0,0,40255,0,40255,0,0,0,0,0,0,0,3116159,port271
2026-06-17,2026,6,17,port290,Dhamra Port,India,IND,0,2,0,0,0,2,2,0,206654,0,0,0,206654,206654,0,19063,0,0,0,19063,19063,3118737,port290
2026-06-17,2026,6,17,port442,Haldia,India,IND,2,0,0,0,2,2,4,5891,0,0,0,6510,5891,12402,2413,0,0,0,816,2413,3230,3122445,HALDIA
2026-06-17,2026,6,17,port511,Jaigad Port,India,IND,0,0,2,0,1,2,3,0,0,0,0,2985,0,2985,0,0,2876,0,527,2876,3403,3124792,port511
2026-06-17,2026,6,17,port529,Kakinada,India,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3127563,port529
2026-06-17,2026,6,17,port534,Kamarajar Port,India,IND,1,2,0,0,0,3,3,5634,115933,0,0,0,121568,121568,0,5889,0,0,0,5889,5889,3131384,KAMARAJAR
2026-06-17,2026,6,17,port540,Deendayal (Kandla),India,IND,1,5,4,0,1,10,11,0,62672,1754,0,11450,64427,75878,5400,99194,5360,0,1840,109956,111796,3133442,DEENDAYAL
2026-06-17,2026,6,17,port544,Karaikal,India,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3137648,port544
2026-06-17,2026,6,17,port583,Cochin (Kochi),India,IND,2,1,0,0,0,3,3,3684,27149,0,0,0,30833,30833,17534,0,0,0,0,17534,17534,3139925,COCHIN
2026-06-17,2026,6,17,port599,Krishnapatnam Port,India,IND,0,1,0,0,0,1,1,0,58786,0,0,0,58786,58786,0,5382,0,0,0,5382,5382,3141814,KRISHNAPATNAM
2026-06-17,2026,6,17,port679,Magdalla,India,IND,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3144247,port679
2026-06-17,2026,6,17,port709,Mormugao,India,IND,0,2,0,0,0,2,2,0,63486,0,0,0,63486,63486,0,8086,0,0,0,8086,8086,3147253,MORMUGAO
2026-06-17,2026,6,17,port776,Mumbai-Jawaharlal Nehru (Nhava Sheva),India,IND,8,3,10,0,4,21,25,106395,27815,6390,0,6113,140601,146715,29529,32466,1634,0,5836,63630,69466,3149048,JNPT
2026-06-17,2026,6,17,port777,Mundra,India,IND,6,0,1,0,0,7,7,22732,0,1839,0,0,24572,24572,38930,0,2943,0,0,41873,41873,3152715,MUNDRA
2026-06-17,2026,6,17,port801,Navlakhi,India,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3155795,port801
2026-06-17,2026,6,17,port811,New Mangalore,India,IND,1,1,0,0,0,2,2,13381,35090,0,0,0,48471,48471,0,8502,0,0,0,8502,8502,3156749,NEW_MANGALORE
2026-06-17,2026,6,17,port883,Paradip,India,IND,1,4,0,0,0,5,5,0,0,0,0,0,0,0,9602,328282,0,0,0,337884,337884,3160199,PARADIP
2026-06-17,2026,6,17,port907,Pipavav,India,IND,1,2,2,0,0,5,5,0,49247,0,0,0,49247,49247,7739,21802,0,0,0,29541,29541,3163180,port907
2026-06-17,2026,6,17,port1199,Sikka,India,IND,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3166565,port1199
2026-06-17,2026,6,17,port1331,V. O. Chidambaranar (Tuticorin),India,IND,1,0,0,0,0,1,1,2645,0,0,0,0,2645,2645,0,0,0,0,0,0,0,3168376,TUTICORIN
2026-06-17,2026,6,17,port1367,Visakhapatnam,India,IND,3,7,0,0,2,10,12,10381,260515,0,0,42613,270897,313510,13746,106549,0,0,12583,120295,132878,3171804,VIZAG
2026-06-17,2026,6,17,port2038,Kattupalli,India,IND,1,0,0,0,1,1,2,2763,0,0,0,43261,2763,46025,3188,0,0,0,0,3188,3188,3859797,KATTUPALLI
2026-06-17,2026,6,17,port2039,Hazira,India,IND,0,3,0,0,2,3,5,0,174587,0,0,12168,174587,186755,0,8315,0,0,332,8315,8647,3861306,HAZIRA
2026-06-17,2026,6,17,port2150,Vizhinjam,India,IND,2,0,0,0,0,2,2,41361,0,0,0,0,41361,41361,1151,0,0,0,0,1151,1151,4182465,port2150
2026-06-17,2026,6,17,port2151,Karwar,India,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4184354,port2151
2026-06-17,2026,6,17,port2152,Port Blair,India,IND,1,0,0,0,0,1,1,3972,0,0,0,0,3972,3972,0,0,0,0,0,0,0,4188274,port2152
2026-06-17,2026,6,17,port2299,Gopalpur,India,IND,0,1,0,0,0,1,1,0,21656,0,0,0,21656,21656,0,22930,0,0,0,22930,22930,4571299,port2299
2026-06-17,2026,6,17,port2344,Tuna,India,IND,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4693924,port2344
2026-06-17,2026,6,17,port2378,Dhabol LNG Terminal,India,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4782384,port2378
2026-06-17,2026,6,17,fso82,India - Offshore Oil Terminal 1,India,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5141527,fso82
2026-06-17,2026,6,17,fso83,India - Offshore Oil Terminal 2,India,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5142320,fso83
2026-06-17,2026,6,17,fso84,India - Offshore Oil Terminal 3,India,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5145148,fso84
2026-06-17,2026,6,17,fso85,India - Offshore Oil Terminal 4,India,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5148965,fso85
2026-06-17,2026,6,17,port2430,Alang,India,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5415445,port2430
2026-06-17,2026,6,17,port2481,Chhara LNG Terminal,India,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5556426,port2481
2026-06-16,2026,6,16,port207,Kolkata (Syama Prasad Mookerje Port),India,IND,3,0,0,0,0,3,3,7075,0,0,0,0,7075,7075,0,0,0,0,0,0,0,3110307,KOLKATA
2026-06-16,2026,6,16,port235,Chennai (Madras),India,IND,1,2,0,0,1,3,4,22848,71049,0,0,125487,93898,219386,0,10112,0,0,0,10112,10112,3114233,CHENNAI
2026-06-16,2026,6,16,port271,Dahej,India,IND,0,1,0,0,4,1,5,0,81265,0,0,134091,81265,215357,0,0,0,0,4771,0,4771,3116158,port271
2026-06-16,2026,6,16,port290,Dhamra Port,India,IND,0,2,0,0,0,2,2,0,16429,0,0,0,16429,16429,0,80753,0,0,0,80753,80753,3118733,port290
2026-06-16,2026,6,16,port442,Haldia,India,IND,0,1,1,0,3,2,5,0,31700,0,0,35412,31700,67112,0,0,0,0,4492,0,4492,3122441,HALDIA
2026-06-16,2026,6,16,port511,Jaigad Port,India,IND,0,1,5,0,1,6,7,0,76856,257,0,0,77113,77113,0,0,5631,0,1051,5631,6682,3124791,port511
2026-06-16,2026,6,16,port529,Kakinada,India,IND,0,1,0,0,0,1,1,0,79121,0,0,0,79121,79121,0,0,0,0,0,0,0,3127560,port529
2026-06-16,2026,6,16,port534,Kamarajar Port,India,IND,1,2,0,0,0,3,3,0,136050,0,0,0,136050,136050,16784,0,0,0,0,16784,16784,3131382,KAMARAJAR
2026-06-16,2026,6,16,port540,Deendayal (Kandla),India,IND,1,4,0,0,3,5,8,0,96666,0,0,35476,96666,132143,15969,39892,0,0,0,55862,55862,3133440,DEENDAYAL
2026-06-16,2026,6,16,port544,Karaikal,India,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3137647,port544
2026-06-16,2026,6,16,port583,Cochin (Kochi),India,IND,0,0,1,0,1,1,2,0,0,452,0,3412,452,3865,0,0,0,0,18135,0,18135,3139923,COCHIN
2026-06-16,2026,6,16,port599,Krishnapatnam Port,India,IND,0,4,1,0,1,5,6,0,177351,0,0,9260,177351,186611,0,32307,0,0,5,32307,32313,3141812,KRISHNAPATNAM
2026-06-16,2026,6,16,port679,Magdalla,India,IND,0,1,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3144246,port679
2026-06-16,2026,6,16,port709,Mormugao,India,IND,1,1,0,0,0,2,2,0,72581,0,0,0,72581,72581,6262,0,0,0,0,6262,6262,3147250,MORMUGAO
2026-06-16,2026,6,16,port776,Mumbai-Jawaharlal Nehru (Nhava Sheva),India,IND,7,5,6,0,6,18,24,118200,79116,12876,0,221487,210193,431680,2135,2377,555,0,0,5067,5067,3149045,JNPT
2026-06-16,2026,6,16,port777,Mundra,India,IND,7,0,0,0,3,7,10,24611,0,0,0,20145,24611,44757,23724,0,0,0,33946,23724,57671,3152714,MUNDRA
2026-06-16,2026,6,16,port801,Navlakhi,India,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3155792,port801
2026-06-16,2026,6,16,port811,New Mangalore,India,IND,1,0,0,0,4,1,5,0,0,0,0,100793,0,100793,3015,0,0,0,22185,3015,25200,3156748,NEW_MANGALORE
2026-06-16,2026,6,16,port883,Paradip,India,IND,0,6,0,0,1,6,7,0,259463,0,0,0,259463,259463,0,207506,0,0,0,207506,207506,3160198,PARADIP
2026-06-16,2026,6,16,port907,Pipavav,India,IND,0,0,1,0,0,1,1,0,0,372,0,0,372,372,0,0,712,0,0,712,712,3163177,port907
2026-06-16,2026,6,16,port1199,Sikka,India,IND,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,100346,0,100346,3166561,port1199
2026-06-16,2026,6,16,port1331,V. O. Chidambaranar (Tuticorin),India,IND,1,0,2,0,2,3,5,359,0,2450,0,17452,2810,20262,0,0,1400,0,1179,1400,2579,3168375,TUTICORIN
2026-06-16,2026,6,16,port1367,Visakhapatnam,India,IND,0,4,1,0,4,5,9,0,60169,2996,0,24195,63165,87360,0,27097,3166,0,18213,30263,48477,3171802,VIZAG
2026-06-16,2026,6,16,port2038,Kattupalli,India,IND,1,0,0,0,0,1,1,0,0,0,0,0,0,0,945,0,0,0,0,945,945,3859795,KATTUPALLI
2026-06-16,2026,6,16,port2039,Hazira,India,IND,2,2,2,0,3,6,9,0,45717,1050,0,23298,46768,70067,8576,4157,1764,0,3501,14499,18001,3861302,HAZIRA
2026-06-16,2026,6,16,port2150,Vizhinjam,India,IND,1,0,0,0,0,1,1,5812,0,0,0,0,5812,5812,0,0,0,0,0,0,0,4182461,port2150
2026-06-16,2026,6,16,port2151,Karwar,India,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4184353,port2151
2026-06-16,2026,6,16,port2152,Port Blair,India,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4188273,port2152
2026-06-16,2026,6,16,port2299,Gopalpur,India,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4571297,port2299
2026-06-16,2026,6,16,port2344,Tuna,India,IND,0,1,0,0,0,1,1,0,60541,0,0,0,60541,60541,0,0,0,0,0,0,0,4693922,port2344
2026-06-16,2026,6,16,port2378,Dhabol LNG Terminal,India,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4782383,port2378
2026-06-16,2026,6,16,fso82,India - Offshore Oil Terminal 1,India,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5141525,fso82
2026-06-16,2026,6,16,fso83,India - Offshore Oil Terminal 2,India,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5142319,fso83
2026-06-16,2026,6,16,fso84,India - Offshore Oil Terminal 3,India,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5145147,fso84
2026-06-16,2026,6,16,fso85,India - Offshore Oil Terminal 4,India,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5148964,fso85
2026-06-16,2026,6,16,port2430,Alang,India,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5415442,port2430
2026-06-16,2026,6,16,port2481,Chhara LNG Terminal,India,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5556425,port2481
2026-06-15,2026,6,15,port207,Kolkata (Syama Prasad Mookerje Port),India,IND,1,0,0,0,0,1,1,482,0,0,0,0,482,482,0,0,0,0,0,0,0,3110306,KOLKATA
2026-06-15,2026,6,15,port235,Chennai (Madras),India,IND,0,0,1,0,1,1,2,0,0,1339,0,0,1339,1339,0,0,721,0,1335,721,2056,3114232,CHENNAI
